subj_id_no	age	gender	occupation	strategy1	strategy2
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
175	24	m	stud_non_psy	1	Für die *EEE* Wörter: eine Geschichte
