subj_id_no	age	gender	occupation	strategy1	strategy2
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
155	19	w	stud_non_psy	0	none
